objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,rights,rightsstatement,color/B&W,originalCollection,orignalItemSize,originalItemMedium,provenance,digitalCollection
coll001,coll001.jpg,"Diné man in Tsé Biiʼ Ndzisgaii - Monument Valley, outside of cave dwelling","Forman, Harrison, 1904-1978",ca. 1950s,"Diné man standing outside of a cave dwelling in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Man; Caves; Rock Formations; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - John Ford's Point Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-11-9",Still Image,jpeg,In Copyright,In Copyright | Rights Statements,Color,Harrison Forman Collection,35mm,Slides,"Gift of Sandra Carlyle Forman, 1987",American Geographical Society Library Digital Photo Archive - North and Central America
coll002,coll002.jpg,Elderly Diné man in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Elderyly Diné man wearing Dootłizh ílį́įgo naalyéhé, also known as Turqoise jewlery in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Man; Dootłizh ílį́įgo naalyéhé; Indigenous Peoples ,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-4",Still Image,jpeg,In Copyright,In Copyright | Rights Statements,Color,Harrison Forman Collection,35mm,Slides,"Gift of Sandra Carlyle Forman, 1987",American Geographical Society Library Digital Photo Archive - North and Central America
coll003,coll003.jpg,Diné people on horseback in John Ford's Point in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Diné man on Łį́į́', also known as horse, and woman at John Ford's Point in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Woman; Man; Łį́į́'; Rock Formations; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-10-19",Still Image,jpeg,In Copyright,In Copyright | Rights Statements,Color,Harrison Forman Collection,35mm,Slides,"Gift of Sandra Carlyle Forman, 1987",American Geographical Society Library Digital Photo Archive - North and Central America
coll004,coll004.jpg,Diné man and woman in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Diné man and woman seen wearing traditional clothing and Dootłizh ílį́įgo naalyéhé, also known as Turqoise jewlery in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Woman; Man; Dootłizh ílį́įgo naalyéhé; Traditional Clothing; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-14",Still Image,jpeg,In Copyright,In Copyright | Rights Statements,Color,Harrison Forman Collection,35mm,Slides,"Gift of Sandra Carlyle Forman, 1987",American Geographical Society Library Digital Photo Archive - North and Central America
coll005,coll005.jpg,Portrait of Diné woman in front of Diné diyogí in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Diné woman wearing traditional clothing and Dootłizh ílį́įgo naalyéhé, also known as Turqoise jewlery, with a backdrop of Diné diyogí, also known as Diné rug, in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Woman; Dootłizh ílį́įgo naalyéhé; Diné diyogí; Traditional Clothing; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-6",Still Image,jpeg,In Copyright,In Copyright | Rights Statements,Color,Harrison Forman Collection,35mm,Slides,"Gift of Sandra Carlyle Forman, 1987",American Geographical Society Library Digital Photo Archive - North and Central America
coll006,coll006.jpg,Diné children in Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,Diné children (áłchíní) at Monument Valley (Tsé Biiʼ Ndzisgaii) ,Diné;Tsé Biiʼ Ndzisgaii; Monument Valley;áłchíní;children;indigenous peoples,Tsé Biiʼ Ndzisgaii ,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-8",Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll007,coll007.jpg,Diné woman in Tsé Biiʼ Ndzisgaii (Monument Valley),"Forman, Harrison, 1904-1978",ca. 1950s,"Ariz [Arizona] - Monument Valley, Navajo; Tsé Biiʼ Ndzisgaii",Diné; Tsé Biiʼ Ndzisgaii; Asdzáán; women; indigenous peoples,Tsé Biiʼ Ndzisgaii,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-7",Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll008,coll008.jpg,Diné woman preparing meal at campfire in Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Ariz [Arizona] - Monument Valley, Navajo preparing meal",,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",,Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll009,coll009.jpg,,"Forman, Harrison, 1904-1978",ca. 1950s,,,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",,Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll010,coll010.jpg,,"Forman, Harrison, 1904-1978",ca. 1950s,,,,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",,Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll011,(andy start here),Elderly Diné Woman with Children in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Eldery Diné woman also known as Asdzáán with Diné children also known as áłchíní sitting on a rock in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Children; áłchíní; Woman; Asdzáán; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-13",Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll012,,Diné Woman Brushing Other Diné Woman's Hair in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Diné Women also known as asdzání brusing another Diné Woman's hair with béʼézhóóʼ or bundle of stiff dried sandhill muhly grass in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Woman; asdzání; Hair brush; béʼézhóóʼ; Rugs; Diyogí; Rock Formations; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-14-12",Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
coll013,,Eldelry Diné Woman Portrait in Tsé Biiʼ Ndzisgaii - Monument Valley,"Forman, Harrison, 1904-1978",ca. 1950s,"Portrait of Eldery Diné Woman also known as Asdzáán in Tsé Biiʼ Ndzisgaii also known as Monument Valley in Arizona, United States",Diné; Tsé Biiʼ Ndzisgaii; Monument Valley; Woman; Asdzáán; Older People; Indigenous Peoples,"Tsé Biiʼ Ndzisgaii - Monument Valley, Arizona, United States","American Geographical Society Library, University of Wisconsin-Milwaukee Libraries","10d, 155-13-12",Still Image,jpeg,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,Color,Harrison Forman Collection,35 mm,Slides,"Gift of Sandra Carlyle Forman, 1987.",American Geographical Society Library Digital Photo Archive - North and Central America
